name,company,year,Price,kms_driven,fuel_type
Maruti Suzuki Ertiga ZXI Plus,Maruti,2016.0,635000.0,29000.0,Petrol
Ford EcoSport Titanium 1.5L TDCi,Ford,2014.0,550000.0,44000.0,Diesel
Maruti Suzuki Ertiga Vxi,Maruti,2016.0,575000.0,29000.0,Petrol
Maruti Suzuki Ertiga VDi,Maruti,2013.0,485000.0,42000.0,Diesel
Maruti Suzuki Alto LXi BS III,Maruti,2012.0,155000.0,14000.0,Petrol
Hyundai Grand i10 Asta 1.1 CRDi,Hyundai,2014.0,345000.0,49000.0,Diesel
Honda Amaze 1.2 S i VTEC,Honda,2014.0,325000.0,42000.0,Petrol
Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012.0,329500.0,36200.0,Diesel
Ford Figo Diesel EXI,Ford,2014.0,195000.0,50000.0,Diesel
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015.0,251111.0,55000.0,Petrol
Maruti Suzuki Ertiga ZXi,Maruti,2014.0,569999.0,45000.0,Petrol
Maruti Suzuki Esteem LXi BS III,Maruti,2007.0,69999.0,51000.0,Petrol
Maruti Suzuki Ritz VXI,Maruti,2014.0,299999.0,19000.0,Petrol
Maruti Suzuki Dzire,Maruti,2009.0,220000.0,46000.0,Petrol
Maruti Suzuki Ritz LDi,Maruti,2013.0,399999.0,33000.0,Diesel
Maruti Suzuki Dzire VDI,Maruti,2015.0,450000.0,104000.0,Diesel
Toyota Etios Liva G,Toyota,2014.0,270000.0,55000.0,Petrol
Hyundai i20 Sportz 1.4 CRDI,Hyundai,2011.0,350000.0,33333.0,Diesel
Chevrolet Spark,Chevrolet,2012.0,158400.0,33600.0,Petrol
Maruti Suzuki Alto K10 VXi AMT,Maruti,2017.0,350000.0,5600.0,Petrol
Nissan Micra XV,Nissan,2011.0,179000.0,41000.0,Petrol
Maruti Suzuki Swift,Maruti,2007.0,125000.0,70000.0,Petrol
Maruti Suzuki Alto 800,Maruti,2018.0,200000.0,7500.0,Petrol
Honda Amaze 1.5 S i DTEC,Honda,2013.0,299000.0,45000.0,Diesel
Maruti Suzuki Alto 800 Vxi,Maruti,2015.0,220000.0,38000.0,Petrol
Chevrolet Beat,Chevrolet,2015.0,150000.0,30000.0,Petrol
Honda City 1.5 V MT,Honda,2010.0,285000.0,35000.0,Petrol
Ford EcoSport Trend 1.5L TDCi,Ford,2016.0,830000.0,24330.0,Diesel
Hyundai i20 Asta 1.2,Hyundai,2009.0,210000.0,65480.0,Petrol
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2013.0,340000.0,41000.0,Petrol
Tata Indica V2 eLS,Tata,2006.0,90000.0,20000.0,Petrol
Hindustan Motors Ambassador,Hindustan,2000.0,70000.0,200000.0,Diesel
Toyota Corolla Altis 1.8 GL,Toyota,2010.0,289999.0,70000.0,Petrol
Toyota Corolla Altis 1.8 J,Toyota,2012.0,349999.0,59000.0,Petrol
Toyota Innova 2.5 GX BS IV 7 STR,Toyota,2012.0,849999.0,99000.0,Diesel
Volkswagen Jetta Highline TDI AT,Volkswagen,2014.0,749999.0,46000.0,Diesel
Volkswagen Polo Comfortline 1.2L P,Volkswagen,2015.0,399999.0,2800.0,Petrol
Volkswagen Polo,Volkswagen,2014.0,274999.0,32000.0,Petrol
Mahindra Scorpio,Mahindra,2015.0,984999.0,22000.0,Diesel
Nissan Sunny,Nissan,2012.0,224999.0,45000.0,Petrol
Hyundai Elite i20,Hyundai,2018.0,599999.0,21000.0,Petrol
Renault Kwid,Renault,2016.0,244999.0,11000.0,Petrol
Renault Duster,Renault,2013.0,399999.0,41000.0,Diesel
Renault Duster,Renault,2014.0,474999.0,50000.0,Diesel
Mahindra Scorpio VLX Airbag,Mahindra,2011.0,499999.0,66000.0,Diesel
Maruti Suzuki Alto 800 Lxi,Maruti,2018.0,310000.0,3000.0,Petrol
Chevrolet Spark LT 1.0,Chevrolet,2010.0,85000.0,45000.0,Petrol
Datsun Redi GO T O,Datsun,2016.0,245000.0,7000.0,Petrol
Maruti Suzuki Swift RS VDI,Maruti,2010.0,189500.0,38500.0,Diesel
Fiat Punto Emotion 1.2,Fiat,2012.0,169500.0,37200.0,Diesel
Maruti Suzuki Swift RS VDI,Maruti,2010.0,159500.0,43200.0,Diesel
Toyota Etios GD,Toyota,2013.0,275000.0,24800.0,Petrol
Hyundai i20 Sportz 1.4 CRDI,Hyundai,2014.0,370000.0,60000.0,Diesel
Hyundai i10 Sportz 1.2,Hyundai,2010.0,168000.0,45872.0,Petrol
Chevrolet Beat LT Opt Diesel,Chevrolet,2011.0,150000.0,40000.0,Diesel
Chevrolet Beat LS Diesel,Chevrolet,2011.0,145000.0,45000.0,Diesel
Chevrolet Beat LT Diesel,Chevrolet,2012.0,98500.0,38000.0,Diesel
Tata Indigo CS,Tata,2011.0,85000.0,11400.0,Diesel
Toyota Corolla Altis 1.8 J,Toyota,2015.0,575000.0,42000.0,Petrol
Honda City 1.5 V MT,Honda,2014.0,549000.0,39000.0,Petrol
Maruti Suzuki Swift VDi,Maruti,2011.0,209000.0,47000.0,Diesel
Hyundai Eon Era Plus,Hyundai,2013.0,185000.0,27000.0,Petrol
Mahindra Scorpio S10,Mahindra,2015.0,900000.0,97200.0,Diesel
Mahindra XUV500,Mahindra,2014.0,699999.0,52000.0,Diesel
Ford Fiesta,Ford,2011.0,274999.0,55000.0,Diesel
Honda City,Honda,2015.0,599999.0,30000.0,Diesel
Maruti Suzuki Wagon R,Maruti,2012.0,199999.0,44000.0,Petrol
Honda City,Honda,2014.0,544999.0,45000.0,Diesel
Hyundai i20,Hyundai,2009.0,199000.0,31000.0,Petrol
Tata Indigo eCS LX TDI BS III,Tata,2016.0,320000.0,175430.0,Diesel
Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015.0,540000.0,38000.0,Diesel
Mahindra Quanto C8,Mahindra,2013.0,340000.0,37000.0,Diesel
Fiat Petra ELX 1.2 PS,Fiat,2008.0,75000.0,65000.0,Petrol
Hyundai Santro Xing XS,Hyundai,2005.0,49000.0,7500.0,Petrol
Maruti Suzuki Ciaz VXi Plus,Maruti,2016.0,700000.0,3350.0,Petrol
Maruti Suzuki Zen VX,Maruti,2000.0,55000.0,60000.0,Petrol
Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2017.0,895000.0,32000.0,Petrol
Mahindra Scorpio SLX,Mahindra,2007.0,355000.0,75000.0,Diesel
Mahindra Scorpio SLE BS IV,Mahindra,2012.0,565000.0,62000.0,Diesel
Toyota Innova 2.5 G BS III 8 STR,Toyota,2006.0,365000.0,73000.0,Diesel
Maruti Suzuki Alto K10 VXi AMT,Maruti,2011.0,145000.0,41000.0,Petrol
Maruti Suzuki Wagon R LXI BS IV,Maruti,2011.0,210000.0,35000.0,Petrol
Tata Nano Cx BSIV,Tata,2013.0,40000.0,2200.0,Petrol
Maruti Suzuki Alto Std BS IV,Maruti,2013.0,125000.0,39000.0,Petrol
Maruti Suzuki Wagon R LXi BS III,Maruti,2009.0,135000.0,45000.0,Petrol
Maruti Suzuki Swift VXI BSIII,Maruti,2006.0,135000.0,45000.0,Petrol
Tata Sumo Victa EX 10 by 7 Str BSIII,Tata,2012.0,285000.0,65000.0,Diesel
Maruti Suzuki Wagon R LXi BS III,Maruti,2010.0,145000.0,54870.0,Petrol
Maruti Suzuki Alto LXi BS III,Maruti,2010.0,135000.0,34580.0,Petrol
Volkswagen Passat Diesel Comfortline AT,Volkswagen,2009.0,450000.0,97000.0,Diesel
Renault Scala RxL Diesel Travelogue,Renault,2015.0,375000.0,25000.0,Diesel
Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014.0,365000.0,20000.0,Petrol
Hyundai i20 Active 1.2 SX,Hyundai,2015.0,500000.0,18000.0,Petrol
Mahindra Xylo E4,Mahindra,2012.0,400000.0,35000.0,Diesel
Mahindra Jeep MM 550 XDB,Mahindra,2019.0,390000.0,60.0,Diesel
Mahindra Bolero SLE BS IV,Mahindra,2013.0,330000.0,80200.0,Diesel
Force Motors Force One LX ABS 7 STR,Force,2015.0,580000.0,3200.0,Diesel
Maruti Suzuki SX4,Maruti,2012.0,265000.0,46000.0,Diesel
Mahindra Jeep CL550 MDI,Mahindra,2019.0,379000.0,0.0,Diesel
Maruti Suzuki Alto 800,Maruti,2015.0,219000.0,5000.0,Petrol
Mahindra Jeep CL550 MDI,Mahindra,2018.0,385000.0,588.0,Diesel
Toyota Etios,Toyota,2011.0,275000.0,36000.0,Diesel
Volkswagen Polo,Volkswagen,2015.0,330000.0,38000.0,Diesel
Honda City ZX VTEC,Honda,2008.0,110000.0,45000.0,Petrol
Maruti Suzuki Wagon R LX BS III,Maruti,2006.0,80000.0,71200.0,Petrol
Honda City VX O MT Diesel,Honda,2016.0,519000.0,52000.0,Diesel
Mahindra Thar CRDe 4x4 AC,Mahindra,2016.0,730000.0,29000.0,Diesel
Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009.0,699000.0,47000.0,Petrol
Mercedes Benz GLA Class 200 CDI Sport,Mercedes,2015.0,2000000.0,20000.0,Diesel
Land Rover Freelander 2 SE,Land,2015.0,2100000.0,30000.0,Diesel
Renault Kwid RXT,Renault,2017.0,340000.0,5000.0,Petrol
Tata Aria Pleasure 4X2,Tata,2014.0,390000.0,35000.0,Diesel
Mercedes Benz B Class B180 Sports,Mercedes,2014.0,1400000.0,31000.0,Petrol
Datsun GO T O,Datsun,2016.0,245000.0,7000.0,Petrol
Tata Indigo eCS LX TDI BS III,Tata,2016.0,320000.0,175400.0,Diesel
Honda Jazz VX MT,Honda,2016.0,450000.0,41000.0,Petrol
Honda Amaze 1.2 S i VTEC,Honda,2014.0,311000.0,33000.0,Petrol
Honda City,Honda,2012.0,399999.0,45000.0,Petrol
Honda City,Honda,2015.0,599999.0,39000.0,Diesel
Mahindra Scorpio S4,Mahindra,2015.0,855000.0,30000.0,Diesel
Hyundai i20 Active 1.4L SX O,Hyundai,2015.0,535000.0,37000.0,Diesel
Mini Cooper S,Mini,2013.0,1891111.0,13000.0,Petrol
Maruti Suzuki Ciaz ZXI Plus,Maruti,2017.0,699000.0,14000.0,Petrol
Chevrolet Tavera Neo,Chevrolet,2013.0,375000.0,55000.0,Diesel
Hyundai Eon Sportz,Hyundai,2012.0,178000.0,30000.0,Petrol
Tata Sumo Gold Select Variant,Tata,2013.0,300000.0,50000.0,Diesel
Maruti Suzuki Wagon R 1.0,Maruti,2003.0,90000.0,45000.0,Petrol
Maruti Suzuki Esteem VXi BS III,Maruti,2006.0,95000.0,45000.0,Petrol
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015.0,255000.0,9300.0,Petrol
Chevrolet Enjoy 1.4 LS 8 STR,Chevrolet,2013.0,245000.0,55000.0,Diesel
Maruti Suzuki Wagon R 1.0 VXi,Maruti,2015.0,289999.0,22000.0,Petrol
Nissan Terrano XL D Plus,Nissan,2015.0,499999.0,60000.0,Diesel
Renault Duster 85 PS RxE Diesel,Renault,2014.0,489999.0,59000.0,Diesel
Renault Duster 85 PS RxL Diesel,Renault,2015.0,549999.0,19000.0,Diesel
Maruti Suzuki Dzire ZXI,Maruti,2013.0,380000.0,30000.0,Petrol
Renault Kwid RXT Opt,Renault,2018.0,325000.0,15000.0,Petrol
Maruti Suzuki Maruti 800 Std,Maruti,2003.0,57000.0,56758.0,Petrol
Renault Kwid 1.0 RXT AMT,Renault,2018.0,349999.0,10000.0,Petrol
Renault Scala RxL Diesel,Renault,2014.0,349999.0,49000.0,Diesel
Hyundai Grand i10 Asta 1.2 Kappa VTVT O,Hyundai,2014.0,410000.0,41000.0,Petrol
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011.0,225000.0,45000.0,Petrol
Chevrolet Beat LS Petrol,Chevrolet,2010.0,120000.0,43000.0,Petrol
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2000.0,59000.0,56450.0,Petrol
Chevrolet Beat LS Petrol,Chevrolet,2010.0,80000.0,56000.0,Petrol
Chevrolet Beat LS Petrol,Chevrolet,2015.0,220000.0,32700.0,Petrol
Ford EcoSport Titanium 1.5L TDCi,Ford,2016.0,599000.0,30000.0,Diesel
Hyundai Accent GLX,Hyundai,2006.0,80000.0,56000.0,Petrol
Mahindra TUV300 T4 Plus,Mahindra,2016.0,675000.0,9000.0,Diesel
Tata Indica V2 Xeta e GLE,Tata,2008.0,150000.0,11000.0,Petrol
Tata Indigo CS LS DiCOR,Tata,2009.0,72500.0,46000.0,Diesel
Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2019.0,610000.0,73.0,Petrol
Mahindra Scorpio VLX Special Edition BS III,Mahindra,2004.0,230000.0,160000.0,Diesel
Honda Accord,Honda,2009.0,175000.0,58559.0,Petrol
Ford EcoSport Titanium 1.5 TDCi,Ford,2014.0,520000.0,57000.0,Diesel
Maruti Suzuki Ertiga,Maruti,2015.0,524999.0,50000.0,Diesel
Honda Amaze,Honda,2014.0,299999.0,37000.0,Petrol
Maruti Suzuki Dzire,Maruti,2012.0,299999.0,40000.0,Petrol
Honda City,Honda,2011.0,284999.0,55000.0,Petrol
Mahindra Scorpio 2.6 CRDe,Mahindra,2007.0,220000.0,170000.0,Diesel
Maruti Suzuki Dzire,Maruti,2014.0,424999.0,55000.0,Diesel
Honda City,Honda,2015.0,644999.0,39000.0,Petrol
Honda Mobilio,Honda,2014.0,399999.0,44000.0,Petrol
Toyota Corolla Altis,Toyota,2009.0,199999.0,65000.0,Petrol
Honda City,Honda,2014.0,584999.0,39000.0,Petrol
Skoda Laura,Skoda,2012.0,349999.0,44000.0,Diesel
Renault Duster,Renault,2015.0,449999.0,49000.0,Diesel
Maruti Suzuki Ertiga,Maruti,2018.0,799999.0,9000.0,Diesel
Maruti Suzuki Dzire,Maruti,2015.0,444999.0,45000.0,Diesel
Mahindra XUV500,Mahindra,2014.0,649999.0,47000.0,Diesel
Hyundai Verna Fluidic,Hyundai,2012.0,444999.0,40000.0,Diesel
Maruti Suzuki Vitara Brezza,Maruti,2016.0,689999.0,29000.0,Diesel
Maruti Suzuki Wagon R,Maruti,2016.0,344999.0,15000.0,Petrol
Mahindra Scorpio,Mahindra,2015.0,944999.0,45000.0,Diesel
Honda Amaze,Honda,2014.0,274999.0,35000.0,Petrol
Mahindra XUV500,Mahindra,2013.0,689999.0,80000.0,Diesel
Mahindra Scorpio,Mahindra,2013.0,574999.0,68000.0,Diesel
Skoda Laura,Skoda,2013.0,374999.0,50000.0,Diesel
Volkswagen Polo,Volkswagen,2010.0,199999.0,60000.0,Diesel
Hyundai Elite i20,Hyundai,2016.0,549999.0,9000.0,Petrol
Tata Manza Aura Quadrajet,Tata,2012.0,130000.0,72000.0,Diesel
Chevrolet Sail UVA Petrol LT ABS,Chevrolet,2013.0,210000.0,60000.0,Petrol
Hyundai Verna Fluidic 1.6 VTVT SX,Hyundai,2013.0,401000.0,45000.0,Diesel
Audi A4 2.0 TDI 177bhp Premium,Audi,2012.0,1350000.0,40000.0,Diesel
Hyundai Elantra SX,Hyundai,2013.0,600000.0,20000.0,Petrol
Mahindra Scorpio VLX 4WD Airbag,Mahindra,2013.0,610000.0,35000.0,Diesel
Mahindra KUV100 K8 D 6 STR,Mahindra,2016.0,400000.0,20000.0,Diesel
Hyundai Grand i10,Hyundai,2017.0,524999.0,6821.0,Petrol
Hyundai i20,Hyundai,2014.0,449999.0,23000.0,Petrol
Hyundai Eon,Hyundai,2014.0,174999.0,14000.0,Petrol
Hyundai i10,Hyundai,2012.0,244999.0,38000.0,Petrol
Hyundai i20 Active,Hyundai,2015.0,574999.0,35000.0,Diesel
Datsun Redi GO,Datsun,2017.0,244999.0,22000.0,Petrol
Toyota Etios Liva,Toyota,2011.0,239999.0,41000.0,Petrol
Hyundai Accent,Hyundai,2010.0,99999.0,45000.0,Petrol
Hyundai Verna,Hyundai,2014.0,489999.0,44000.0,Diesel
Maruti Suzuki Swift,Maruti,2013.0,324999.0,45000.0,Diesel
Toyota Fortuner,Toyota,2011.0,1074999.0,52000.0,Diesel
Hyundai i10 Sportz,Hyundai,2012.0,230000.0,34000.0,Petrol
Mahindra Bolero Power Plus SLE,Mahindra,2018.0,699000.0,1800.0,Diesel
Mahindra XUV500,Mahindra,2015.0,1000000.0,15000.0,Diesel
Honda City 1.5 V MT Exclusive,Honda,2010.0,240000.0,400000.0,Petrol
Chevrolet Spark LT 1.0 Airbag,Chevrolet,2009.0,110000.0,44000.0,Petrol
Mahindra XUV500,Mahindra,2016.0,1130000.0,72000.0,Diesel
Tata Indigo eCS VX CR4 BS IV,Tata,2014.0,250000.0,40000.0,Diesel
Skoda Rapid Elegance 1.6 TDI CR MT,Skoda,2013.0,340000.0,48000.0,Diesel
Tata Vista Quadrajet VX,Tata,2011.0,120000.0,90000.0,Diesel
Maruti Suzuki Alto K10 VXi AT,Maruti,2015.0,265000.0,12000.0,Petrol
Maruti Suzuki Zen LXi BS III,Maruti,2003.0,85000.0,69900.0,Petrol
Hyundai i10 Magna 1.2,Hyundai,2011.0,175000.0,45000.0,Petrol
Maruti Suzuki Swift Dzire Tour LDi,Maruti,2016.0,350000.0,166000.0,Diesel
Honda City ZX EXi,Honda,2008.0,149000.0,42000.0,Petrol
Mahindra Jeep MM 550 XDB,Mahindra,2006.0,425000.0,122.0,Diesel
Chevrolet Beat Diesel,Chevrolet,2017.0,150000.0,62000.0,Diesel
Honda City 1.5 S MT,Honda,2010.0,225000.0,70000.0,Petrol
Hyundai Verna 1.4 VTVT,Hyundai,2014.0,375000.0,36000.0,Petrol
Toyota Innova 2.5 E MS 7 STR BS IV,Toyota,2012.0,770000.0,0.0,Diesel
Maruti Suzuki Maruti 800 Std – Befo,Maruti,1995.0,30000.0,55000.0,Petrol
Maruti Suzuki Swift,Maruti,2014.0,335000.0,55000.0,Diesel
Hyundai Elite i20 Asta 1.4 CRDI,Hyundai,2015.0,450000.0,20000.0,Diesel
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2012.0,225000.0,40000.0,Petrol
Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004.0,80000.0,50000.0,Petrol
Tata Indigo LX TDI BS III,Tata,2016.0,130000.0,104000.0,Diesel
Volkswagen Vento Konekt Diesel Highline,Volkswagen,2011.0,245000.0,65000.0,Diesel
Mercedes Benz C Class 200 CDI Classic,Mercedes,2002.0,399000.0,41000.0,Petrol
Maruti Suzuki Ertiga VDi,Maruti,2013.0,450000.0,90000.0,Diesel
Honda City,Honda,2000.0,65000.0,80000.0,Petrol
Hyundai Santro Xing GLS,Hyundai,2006.0,75000.0,46000.0,Petrol
Maruti Suzuki Omni Limited Edition,Maruti,2001.0,70000.0,70000.0,Petrol
Hyundai Sonata Transform 2.4 GDi MT,Hyundai,2017.0,190000.0,36469.0,Diesel
Hyundai Elite i20 Sportz 1.2,Hyundai,2018.0,600000.0,7800.0,Petrol
Maruti Suzuki Alto 800 Lxi,Maruti,2017.0,240000.0,60000.0,Petrol
Maruti Suzuki Alto LXi BS III,Maruti,2011.0,155000.0,32000.0,Petrol
Honda Jazz S MT,Honda,2009.0,169999.0,24695.0,Petrol
Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2017.0,450000.0,15141.0,Petrol
Maruti Suzuki Zen LXi BSII,Maruti,2001.0,40000.0,40000.0,Petrol
Mahindra Scorpio W Turbo 2.6DX 9 Seater,Mahindra,2012.0,165000.0,65000.0,Diesel
Maruti Suzuki Alto K10 VXi,Maruti,2014.0,270000.0,22000.0,Petrol
Hyundai Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2016.0,280000.0,59910.0,Diesel
Mahindra XUV500 W8,Mahindra,2012.0,560000.0,100000.0,Diesel
Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2016.0,950000.0,25000.0,Petrol
Hyundai i20 Magna O 1.2,Hyundai,2013.0,310000.0,35000.0,Petrol
Renault Duster 85 PS RxL Explore LE,Renault,2015.0,715000.0,65000.0,Diesel
Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2014.0,340000.0,35000.0,Petrol
Honda Brio V MT,Honda,2012.0,235000.0,33000.0,Petrol
Mahindra TUV300 T4 Plus,Mahindra,2017.0,610000.0,68000.0,Diesel
Chevrolet Spark LS 1.0,Chevrolet,2010.0,95000.0,23000.0,Petrol
Mahindra TUV300 T8,Mahindra,2018.0,1000000.0,4500.0,Diesel
Maruti Suzuki Swift Dzire Tour LDi,Maruti,2015.0,220000.0,129000.0,Diesel
Nissan X Trail Select Variant,Nissan,2019.0,1200000.0,300.0,Diesel
Maruti Suzuki Alto 800 Vxi,Maruti,2015.0,230000.0,5000.0,Petrol
Ford Ikon 1.3 CLXi NXt Finesse,Ford,2001.0,45000.0,65000.0,Petrol
Toyota Fortuner 3.0 4x4 MT,Toyota,2010.0,940000.0,131000.0,Diesel
Tata Manza ELAN Quadrajet,Tata,2010.0,155555.0,111111.0,Petrol
